180.94.69.69 - - "2024-06-01 06:18:44" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
180.94.69.69 - - "2024-06-01 06:18:44" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
180.94.69.69 - - "2024-06-01 06:18:50" https://arj.af/index.php/arj/article/view/55 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
180.94.69.69 - - "2024-06-01 06:18:56" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
180.94.69.69 - - "2024-06-01 06:18:56" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
180.94.69.69 - - "2024-06-01 06:21:04" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
180.94.69.69 - - "2024-06-01 06:21:05" https://arj.af/index.php/arj/article/view/55 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
180.94.69.69 - - "2024-06-01 06:21:09" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
180.94.69.69 - - "2024-06-01 06:21:15" https://arj.af/index.php/arj/issue/view/4 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
180.94.69.69 - - "2024-06-01 06:21:15" https://arj.af/index.php/arj/issue/view/4 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
180.94.69.69 - - "2024-06-01 06:21:24" https://arj.af/index.php/arj/article/download/38/22/79 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
180.94.69.69 - - "2024-06-01 06:23:26" https://arj.af/index.php/arj/article/download/14/21/69 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
180.94.69.69 - - "2024-06-01 06:25:11" https://arj.af/index.php/arj/article/download/40/23/83 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
69.171.249.12 bot - "2024-06-01 06:26:43" https://arj.af/index.php/arj/article/view/38 200 "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
180.94.69.69 - - "2024-06-01 06:26:47" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
